Date,Predicted Sales
2018-06-04,1196.0194668432546
2018-06-05,1196.3410632629311
2018-06-06,1196.662659682608
2018-06-07,1196.9842561022845
2018-06-08,1197.305852521961
2018-06-09,1197.6274489416376
2018-06-10,1197.9490453613141
2018-06-11,1198.270641780991
2018-06-12,1198.5922382006675
2018-06-13,1198.913834620344
2018-06-14,1199.2354310400206
2018-06-15,1199.557027459697
2018-06-16,1199.878623879374
2018-06-17,1200.2002202990504
2018-06-18,1200.521816718727
2018-06-19,1200.8434131384035
2018-06-20,1201.1650095580803
2018-06-21,1201.4866059777569
2018-06-22,1201.8082023974334
2018-06-23,1202.12979881711
2018-06-24,1202.4513952367865
2018-06-25,1202.7729916564633
2018-06-26,1203.0945880761399
2018-06-27,1203.4161844958164
